Region,,ISO code,Language name,,# Datasets
Indonesia,,kgx,Kamaru,,1
Indonesia,,xbr,Kambera,,2
Indonesia,,irx,Kamberau,,1
Indonesia,,kgq,Kamoro,,1
Indonesia,,kkv,Kangean,,1
Indonesia,,kax,Kao,,0
Indonesia,,khp,Kapauri,,1
Indonesia,,kbi,Kaptiau,,1
Indonesia,,kgv,Karas,,2
Indonesia,,kyd,Karey,,0
Indonesia,,kgw,Karon Dori,,1
Indonesia,,bqy,Kata Kolok,,0
Indonesia,,vkk,Kaur,,0
Indonesia,,bpp,Kaure,,1
Indonesia,,xau,Kauwera,,1
Indonesia,,kgb,Kawe,,1
Indonesia,,kyt,Kayagar,,1
Indonesia,,xay,Kayan Mahakam,,0
Indonesia,,xkn,Kayan River Kayan,,0
Indonesia,,kzl,Kayeli,,1
Indonesia,,kzu,Kayupulau,,1
Indonesia,,xxk,Ke’o,,1
Indonesia,,ksx,Kedang,,1
Indonesia,,khh,Kehu,,1
Indonesia,,kei,Kei,,1
Indonesia,,kdy,Keijar,,1
Indonesia,,kzi,Kelabit,,1
Indonesia,,kem,Kemak,,1
Indonesia,,bzp,Kemberano,,1
Indonesia,,xkw,Kembra,,1
Indonesia,,kmt,Kemtuik,,1
Indonesia,,knx,Kendayan,,1
Indonesia,,knl,Keninjal,,0
Indonesia,,kuk,Kepo’,,0
Indonesia,,xke,Kereho,,0
Indonesia,,kvr,Kerinci,,1
Indonesia,,xte,Ketengban,,1
Indonesia,,ktt,Ketum,,1
Indonesia,,kig,Kimaghima,,1
Indonesia,,sbt,Kimki,,1
Indonesia,,ues,Kioko,,0
Indonesia,,kiy,Kirikiri,,1
Indonesia,,kje,Kisar,,5
Indonesia,,kyo,Klon,,1
Indonesia,,kpd,Koba,,0
Indonesia,,vko,Kodeoha,,1
Indonesia,,kod,Kodi,,2
Indonesia,,kpi,Kofei,,1
Indonesia,,kkx,Kohin,,0
Indonesia,,xod,Kokoda,,1
Indonesia,,kvv,Kola,,0
Indonesia,,tyn,Kombai,,1
Indonesia,,kge,Komering,,1
Indonesia,,kvh,Komodo,,0
Indonesia,,kvp,Kompane,,0
Indonesia,,kzv,Komyandaret,,1
Indonesia,,knd,Konda,,1
Indonesia,,cml,Koneq-koneq,,1
