display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Dampelas (dms),dms,Dampelas,Indonesia,Indonesia,2000
Dao (daz),daz,Dao,Indonesia,Indonesia,250
Dawera-Daweloor (ddw),ddw,Dawera-Daweloor,Indonesia,Indonesia,1270
Dela-Oenale (row),row,Dela-Oenale,Indonesia,Indonesia,7000
Dem (dem),dem,Dem,Indonesia,Indonesia,1000
Demisa (dei),dei,Demisa,Indonesia,Indonesia,400
Dengka (dnk),dnk,Dengka,Indonesia,Indonesia,20000
Dhao (nfa),nfa,Dhao,Indonesia,Indonesia,5000
Diebroud (tbp),tbp,Diebroud,Indonesia,Indonesia,300
Dineor (mrx),mrx,Dineor,Indonesia,Indonesia,55
Diuwe (diy),diy,Diuwe,Indonesia,Indonesia,100
Dla (kbv),kbv,Dla,Indonesia,Indonesia,1000
Dobel (kvo),kvo,Dobel,Indonesia,Indonesia,5680
Dondo (dok),dok,Dondo,Indonesia,Indonesia,13000
Doutai (tds),tds,Doutai,Indonesia,Indonesia,70
Duano (dup),dup,Duano,"Indonesia, Malaysia",Indonesia,15000
Duri (mvp),mvp,Duri,Indonesia,Indonesia,127000
Duriankere (dbn),dbn,Duriankere,Indonesia,Indonesia,30
Dusner (dsn),dsn,Dusner,Indonesia,Indonesia,3
Dusun Deyah (dun),dun,Dusun Deyah,Indonesia,Indonesia,20000
Dusun Malang (duq),duq,Dusun Malang,Indonesia,Indonesia,4500
Dusun Witu (duw),duw,Dusun Witu,Indonesia,Indonesia,5000
Duvle (duv),duv,Duvle,Indonesia,Indonesia,930
East Damar (dmr),dmr,East Damar,Indonesia,Indonesia,2800
East Makian (mky),mky,East Makian,Indonesia,Indonesia,10000
East Masela (vme),vme,East Masela,Indonesia,Indonesia,520
East Tarangan (tre),tre,East Tarangan,Indonesia,Indonesia,6110
Eastern Ngad’a (nea),nea,Eastern Ngad’a,Indonesia,Indonesia,5000
Edera Awyu (awy),awy,Edera Awyu,Indonesia,Indonesia,3870
Edopi (dbf),dbf,Edopi,Indonesia,Indonesia,1500
Ekari (ekg),ekg,Ekari,Indonesia,Indonesia,100000
Elseng (mrf),mrf,Elseng,Indonesia,Indonesia,300
Embaloh (emb),emb,Embaloh,Indonesia,Indonesia,10000
Emem (enr),enr,Emem,Indonesia,Indonesia,2000
Emplawas (emw),emw,Emplawas,Indonesia,Indonesia,250
Ende (end),end,Ende,Indonesia,Indonesia,110000
Enggano (eno),eno,Enggano,Indonesia,Indonesia,1500
Enrekang (ptt),ptt,Enrekang,Indonesia,Indonesia,50000
Eritai (ert),ert,Eritai,Indonesia,Indonesia,530
Erokwanas (erw),erw,Erokwanas,Indonesia,Indonesia,200
Fayu (fau),fau,Fayu,Indonesia,Indonesia,1400
Fedan (pdn),pdn,Fedan,Indonesia,Indonesia,280
Foau (flh),flh,Foau,Indonesia,Indonesia,350
Fordata (frd),frd,Fordata,Indonesia,Indonesia,50000
Galela (gbi),gbi,Galela,Indonesia,Indonesia,79000
Gamkonora (gak),gak,Gamkonora,Indonesia,Indonesia,1500
Gane (gzn),gzn,Gane,Indonesia,Indonesia,2900
Gayo (gay),gay,Gayo,Indonesia,Indonesia,300000
Gebe (gei),gei,Gebe,Indonesia,Indonesia,2650
Gerai (gef),gef,Gerai,Indonesia,Indonesia,2100
Geser-Gorom (ges),ges,Geser-Gorom,Indonesia,Indonesia,36500
Gorap (goq),goq,Gorap,Indonesia,Indonesia,1000
Gorontalo (gor),gor,Gorontalo,Indonesia,Indonesia,1000000
