display_name,ISO code,Language,Relevant Countries,Country,# Speakers
West Albay Bikol (fbl),fbl,West Albay Bikol,Philippines,Philippines,260000
Western Bukidnon Manobo (mbb),mbb,Western Bukidnon Manobo,Philippines,Philippines,15000
Western Subanon (suc),suc,Western Subanon,Philippines,Philippines,125000
Yakan (yka),yka,Yakan,Philippines,Philippines,106000
Yogad (yog),yog,Yogad,Philippines,Philippines,16000
Baba Malay (mbf),mbf,Baba Malay,Singapore,Singapore,10000
Singapore Sign Language (sls),sls,Singapore Sign Language,Singapore,Singapore,3000
Aheu (thm),thm,Aheu,Thailand,Thailand,450
Ban Khor Sign Language (bfk),bfk,Ban Khor Sign Language,Thailand,Thailand,400
Bisu (bzi),bzi,Bisu,Thailand,Thailand,700
Chiangmai Sign Language (csd),csd,Chiangmai Sign Language,Thailand,Thailand,19
Chong (cog),cog,Chong,Thailand,Thailand,500
Eastern Lawa (lwl),lwl,Eastern Lawa,Thailand,Thailand,7000
Moklen (mkm),mkm,Moklen,Thailand,Thailand,1500
Mpi (mpz),mpz,Mpi,Thailand,Thailand,900
Northeastern Thai (tts),tts,Northeastern Thai,Thailand,Thailand,15000000
Northern Khmer (kxm),kxm,Northern Khmer,Thailand,Thailand,1400000
Nyahkur (cbn),cbn,Nyahkur,Thailand,Thailand,1500
Nyaw (nyw),nyw,Nyaw,Thailand,Thailand,50000
Nyeu (nyl),nyl,Nyeu,Thailand,Thailand,200
Pattani Malay (mfa),mfa,Pattani Malay,Thailand,Thailand,1000000
Phrae Pwo Karen (kjt),kjt,Phrae Pwo Karen,Thailand,Thailand,6000
Pwo Northern Karen (pww),pww,Pwo Northern Karen,Thailand,Thailand,60000
Southern Thai (sou),sou,Southern Thai,Thailand,Thailand,4500000
Thai (tha),tha,Thai,"Thailand, Cambodia",Thailand,60200000
Thai Sign Language (tsq),tsq,Thai Sign Language,Thailand,Thailand,51000
Thai Song (soa),soa,Thai Song,Thailand,Thailand,32300
Ugong (ugo),ugo,Ugong,Thailand,Thailand,150
Urak Lawoi’ (urk),urk,Urak Lawoi’,Thailand,Thailand,5000
Western Lawa (lcp),lcp,Western Lawa,Thailand,Vietnam,8000
Yong (yno),yno,Yong,Thailand,Vietnam,12600
Bahnar (bdq),bdq,Bahnar,Vietnam,Vietnam,158000
Bih (ibh),ibh,Bih,Vietnam,Vietnam,10
Budeh Stieng (stt),stt,Budeh Stieng,Vietnam,Vietnam,40000
Cacgia Roglai (roc),roc,Cacgia Roglai,Vietnam,Vietnam,3000
Cao Lan (mlc),mlc,Cao Lan,Vietnam,Vietnam,169000
Chrau (crw),crw,Chrau,Vietnam,Vietnam,7000
Chru (cje),cje,Chru,Vietnam,Vietnam,19300
Côông (cnc),cnc,Côông,Vietnam,Vietnam,2030
Cua (cua),cua,Cua,Vietnam,Vietnam,12000
Eastern Cham (cjm),cjm,Eastern Cham,Vietnam,Vietnam,72900
Eastern Katu (ktv),ktv,Eastern Katu,Vietnam,Vietnam,50500
Eastern Mnong (mng),mng,Eastern Mnong,Vietnam,Vietnam,30000
En (enc),enc,En,Vietnam,Vietnam,200
Giáy (pcc),pcc,Giáy,Vietnam,Vietnam,2600000
Green Gelao (giq),giq,Green Gelao,Vietnam,Vietnam,300
Haiphong Sign Language (haf),haf,Haiphong Sign Language,Vietnam,Vietnam,1800
Hanoi Sign Language (hab),hab,Hanoi Sign Language,Vietnam,Vietnam,39000
Haroi (hro),hro,Haroi,Vietnam,Vietnam,35000
Hmong Dô (hmv),hmv,Hmong Dô,Vietnam,Vietnam,3700000
Hmong Don (hmf),hmf,Hmong Don,Vietnam,Vietnam,-
Ho Chi Minh City Sign Language (hos),hos,Ho Chi Minh City Sign Language,Vietnam,Vietnam,45000
Hre (hre),hre,Hre,Vietnam,Vietnam,94000
Katua (kta),kta,Katua,Vietnam,Vietnam,4000
Kayong (kxy),kxy,Kayong,Vietnam,Vietnam,25000
Kháng (kjm),kjm,Kháng,Vietnam,Vietnam,13800
Khao (xao),xao,Khao,Vietnam,Vietnam,10000
Koho (kpm),kpm,Koho,Vietnam,Vietnam,166000
Kucong (lkc),lkc,Kucong,Vietnam,Vietnam,6870
Lachi (lbt),lbt,Lachi,Vietnam,Vietnam,5000
Laghuu (lgh),lgh,Laghuu,Vietnam,Vietnam,300
Laha (lha),lha,Laha,Vietnam,Vietnam,5690
Maa (cma),cma,Maa,Vietnam,Vietnam,33300
Mang (zng),zng,Mang,Vietnam,Vietnam,2660
Mantsi (nty),nty,Mantsi,Vietnam,Vietnam,1100
Monom (moo),moo,Monom,Vietnam,Vietnam,6000
Muong (mtq),mtq,Muong,Vietnam,Vietnam,1140000
Ná-Meo (neo),neo,Ná-Meo,Vietnam,Vietnam,1200
Northern Roglai (rog),rog,Northern Roglai,Vietnam,Vietnam,52900
Nung (nut),nut,Nung,Vietnam,Vietnam,969000
Pa-Hng (pha),pha,Pa-Hng,Vietnam,Vietnam,26800
Phula (phh),phh,Phula,Vietnam,Vietnam,5000
Phuong (phg),phg,Phuong,Vietnam,Vietnam,15100
Puoc (puo),puo,Puoc,Vietnam,Vietnam,18000
Qabiao (laq),laq,Qabiao,Vietnam,Vietnam,690
Rade (rad),rad,Rade,Vietnam,Vietnam,177000
Red Gelao (gir),gir,Red Gelao,Vietnam,Vietnam,6000
Rengao (ren),ren,Rengao,Vietnam,Vietnam,18000
Romam (rmx),rmx,Romam,Vietnam,Vietnam,200
Sedang (sed),sed,Sedang,Vietnam,Vietnam,97000
Southern Mnong (mnn),mnn,Southern Mnong,Vietnam,Vietnam,30000
Southern Roglai (rgs),rgs,Southern Roglai,Vietnam,Vietnam,41000
Tai Thanh (tmm),tmm,Tai Thanh,Vietnam,Vietnam,20000
Takua (tkz),tkz,Takua,Vietnam,Vietnam,6000
Tày (tyz),tyz,Tày,Vietnam,Vietnam,1630000
Tay Boi (tas),tas,Tay Boi,Vietnam,Vietnam,0
Tày Sa Pa (tys),tys,Tày Sa Pa,Vietnam,Vietnam,300
Tày Tac (tyt),tyt,Tày Tac,Vietnam,Vietnam,-
Tho (tou),tou,Tho,Vietnam,Vietnam,68400
Thu Lao (tyl),tyl,Thu Lao,Vietnam,Vietnam,200
Todrah (tdr),tdr,Todrah,Vietnam,Vietnam,6000
Trieng (stg),stg,Trieng,Vietnam,Vietnam,15000
Ts’ün-Lao (tsl),tsl,Ts’ün-Lao,Vietnam,Vietnam,10000
Vietnamese (vie),vie,Vietnamese,Vietnam,Vietnam,65800000
White Lachi (lwh),lwh,White Lachi,Vietnam,Vietnam,1600
English (eng),eng,English,Non-indigenous,Non-indigenous,371959910
Cantonese (yue),yue,Cantonese,Non-indigenous,Non-indigenous,62000000
Portuguese (por),por,Portuguese,Non-indigenous,Non-indigenous,218765470
Mandarin Chinese (cmn),cmn,Mandarin Chinese,Non-indigenous,Non-indigenous,1067000000
Tamil (tam),tam,Tamil,Non-indigenous,Non-indigenous,68700000
Sanskrit (san),san,Sanskrit,Non-indigenous,Non-indigenous,208100
