index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
28,flores200_eng_Latn_sun_Latn_seacrowd_t2t,2.1240171333811104,2.173674924745792,29.922954915747297,13.053832075436612,3.74119794850735,12.328315863468731,12.431386653782713,2.1253442752162197,2.1813791110096195,29.86361514025407,12.765804335307779,3.532697102205461,12.059645523348589,12.132604285320205,0
29,flores200_eng_Latn_tha_Thai_seacrowd_t2t,5.984993240586412,0.5807763481146823,29.079415160364913,4.051982667198777,1.9673883659508087,4.0199681020880105,4.013137079309358,0.23615549819997078,0.26463205280635155,0.9402421495138704,3.0376182385660173,0.7255451529489674,3.015991214680648,3.0088712326276417,0
30,flores200_eng_Latn_vie_Latn_seacrowd_t2t,13.572029583331465,13.661632446659645,40.17280951770798,52.643538277736454,35.30482803749212,44.4604644767341,44.790364744181,0.953019721042013,1.0349409116722994,18.191606496977162,8.118811366390927,1.1321771223916515,7.0467631322952275,7.566147235363334,0
31,flores200_eng_Latn_war_Latn_seacrowd_t2t,3.5163216641383888,3.556213165451269,34.10747682921377,19.256036534950496,5.819397337817731,16.924829312585906,17.29961479599344,3.467937875005289,3.52150780367213,34.0747078176736,19.205495796468565,5.726545863170082,16.850720949987807,17.23274713829915,0
32,flores200_eng_Latn_zsm_Latn_seacrowd_t2t,9.06461503938827,9.108062228773905,48.11039748334822,31.212313219111763,17.66235453577696,29.896019258087858,30.071643281819462,8.981434052691595,9.045210267079508,48.05280064420746,31.15082178272711,17.536702774930873,29.821847929571366,30.009088557965747,0
33,ntrex_128_eng-US_ind_seacrowd_t2t,10.226410502238524,10.270667602454685,48.55756805583671,33.91678197068963,19.335446618164998,32.37139294870089,32.46621805092617,10.190589505611387,10.249526816659612,48.536714219721205,33.89035479982985,19.288369851629323,32.35699565837125,32.47399753531157,0
34,ntrex_128_eng-US_mya_seacrowd_t2t,0.07391024524039155,0.07299352151211763,5.095661405036194,1.1780466935997238,0.4378347082884201,1.1500625308354724,1.1667504781152975,0.03119854234242988,0.046860831659814584,0.6857993247542991,0.8242801773758662,0.22674465939104574,0.7935902922876464,0.8028983594230663,0
35,ntrex_128_eng-US_fil_seacrowd_t2t,9.0089864553379,9.176546354091004,44.47428940393507,34.9588796097564,16.631630253958466,30.14647645746651,30.40690969020041,8.98333435667755,9.158616356273548,44.4536498541826,34.933200122556535,16.59320153744364,30.11956374840151,30.371543212390193,0
36,ntrex_128_eng-US_khm_seacrowd_t2t,1.4821861438123944,0.19146883757681124,10.434550052081146,1.8556667108075124,0.69703244060504,1.863762260410204,1.8796496437090977,0.027772959598321635,0.1550530658957644,1.1878978847959263,1.851532232917377,0.5127315863676087,1.8330196643251067,1.8471062799910822,0
37,ntrex_128_eng-US_lao_seacrowd_t2t,0.2684740843120658,0.44403334772907366,4.947496946524154,3.3300633828741355,1.1062975499405527,3.2876170527674775,3.2920191458399097,0.19724133018954979,0.44022336117092575,2.0546672415528917,2.730532128607944,0.8109617067606576,2.6863651713330827,2.703772490884438,0
