,display_name,ISO code,Language,Relevant Countries,Country,# Speakers,is_in_seacrowd,population
665,Tereweng (twg),twg,Tereweng,Indonesia,Indonesia,800,True,<1K
666,Termanu (twu),twu,Termanu,Indonesia,Indonesia,30000,True,<100K
667,Ternate (tft),tft,Ternate,Indonesia,Indonesia,62000,True,<100K
668,Ternateño (tmg),tmg,Ternateño,Indonesia,Indonesia,3000,True,<10K
669,Tidore (tvo),tvo,Tidore,Indonesia,Indonesia,46000,True,<100K
670,Tii (txq),txq,Tii,Indonesia,Indonesia,20000,True,<100K
671,Tobati (tti),tti,Tobati,Indonesia,Indonesia,100,True,<1K
672,Tobelo (tlb),tlb,Tobelo,Indonesia,Indonesia,27700,True,<100K
673,Tofanma (tlg),tlg,Tofanma,Indonesia,Indonesia,250,True,<1K
674,Tolaki (lbw),lbw,Tolaki,Indonesia,Indonesia,331000,True,<1M
675,Tomadino (tdi),tdi,Tomadino,Indonesia,Indonesia,600,True,<1K
676,Tombelala (ttp),ttp,Tombelala,Indonesia,Indonesia,1100,False,<10K
677,Tombulu (tom),tom,Tombulu,Indonesia,Indonesia,60000,True,<100K
678,Tomini (txm),txm,Tomini,Indonesia,Indonesia,30000,True,<100K
679,Tondano (tdn),tdn,Tondano,Indonesia,Indonesia,92000,True,<100K
680,Tonsawang (tnw),tnw,Tonsawang,Indonesia,Indonesia,20000,True,<100K
681,Tonsea (txs),txs,Tonsea,Indonesia,Indonesia,90000,True,<100K
682,Tontemboan (tnt),tnt,Tontemboan,Indonesia,Indonesia,150000,True,<1M
683,Topoiyo (toy),toy,Topoiyo,Indonesia,Indonesia,450,True,<1K
684,Toraja-Sa’dan (sda),sda,Toraja-Sa’dan,Indonesia,Indonesia,750000,True,<1M
685,Totoli (txe),txe,Totoli,Indonesia,Indonesia,25000,True,<100K
686,Towei (ttn),ttn,Towei,Indonesia,Indonesia,120,True,<1K
687,Trimuris (tip),tip,Trimuris,Indonesia,Indonesia,300,False,<1K
688,Tsaukambo (kvz),kvz,Tsaukambo,Indonesia,Indonesia,780,True,<1K
689,Tugun (tzn),tzn,Tugun,Indonesia,Indonesia,1200,True,<10K
690,Tugutil (tuj),tuj,Tugutil,Indonesia,Indonesia,2590,False,<10K
691,Tukang Besi North (khc),khc,Tukang Besi North,Indonesia,Indonesia,120000,True,<1M
692,Tukang Besi South (bhq),bhq,Tukang Besi South,Indonesia,Indonesia,130000,True,<1M
693,Tulehu (tlu),tlu,Tulehu,Indonesia,Indonesia,18800,True,<100K
694,Tunggare (trt),trt,Tunggare,Indonesia,Indonesia,500,True,<1K
695,Tunjung (tjg),tjg,Tunjung,Indonesia,Indonesia,50000,True,<100K
696,Uab Meto (aoz),aoz,Uab Meto,Indonesia,Indonesia,700000,True,<1M
697,Ujir (udj),udj,Ujir,Indonesia,Indonesia,1030,True,<10K
698,Ulumanda’ (ulm),ulm,Ulumanda’,Indonesia,Indonesia,30000,True,<100K
699,Uma (ppk),ppk,Uma,Indonesia,Indonesia,20000,True,<100K
700,Uma’ Lasan (xky),xky,Uma’ Lasan,"Indonesia, Malaysia",Indonesia,1250,False,<10K
701,Uma’ Lung (ulu),ulu,Uma’ Lung,Indonesia,Indonesia,3000,False,<10K
702,Una (mtg),mtg,Una,Indonesia,Indonesia,5600,True,<10K
703,Unde Kaili (unz),unz,Unde Kaili,Indonesia,Indonesia,25000,False,<100K
704,Upper Grand Valley Dani (dna),dna,Upper Grand Valley Dani,Indonesia,Indonesia,20000,True,<100K
705,Uruangnirin (urn),urn,Uruangnirin,Indonesia,Indonesia,400,True,<1K
706,Usku (ulf),ulf,Usku,Indonesia,Indonesia,110,True,<1K
707,Viid (snu),snu,Viid,Indonesia,Indonesia,250,True,<1K
708,Vitou (vto),vto,Vitou,Indonesia,Indonesia,630,True,<1K
709,Wabo (wbb),wbb,Wabo,Indonesia,Indonesia,1500,True,<10K
710,Wae Rana (wrx),wrx,Wae Rana,Indonesia,Indonesia,3000,False,<10K
711,Wahau Kayan (whu),whu,Wahau Kayan,Indonesia,Indonesia,500,False,<1K
712,Wahau Kenyah (whk),whk,Wahau Kenyah,Indonesia,Indonesia,8000,True,<10K
713,Waioli (wli),wli,Waioli,Indonesia,Indonesia,3000,False,<10K
714,Walak (wlw),wlw,Walak,Indonesia,Indonesia,20000,True,<100K
715,Wambon (wms),wms,Wambon,Indonesia,Indonesia,3000,True,<10K
716,Wamesa (wad),wad,Wamesa,Indonesia,Indonesia,5000,True,<10K
717,Wanggom (wng),wng,Wanggom,Indonesia,Indonesia,1180,True,<10K
718,Wano (wno),wno,Wano,Indonesia,Indonesia,1000,True,<10K
719,Wanukaka (wnk),wnk,Wanukaka,Indonesia,Indonesia,10000,True,<100K
720,Warembori (wsa),wsa,Warembori,Indonesia,Indonesia,620,True,<1K
721,Wares (wai),wai,Wares,Indonesia,Indonesia,200,True,<1K
722,Waris (wrs),wrs,Waris,Indonesia,Indonesia,2500,True,<10K
723,Waritai (wbe),wbe,Waritai,Indonesia,Indonesia,150,True,<1K
724,Warkay-Bipim (bgv),bgv,Warkay-Bipim,Indonesia,Indonesia,300,True,<1K
725,Waropen (wrp),wrp,Waropen,Indonesia,Indonesia,6000,True,<10K
726,Waru (wru),wru,Waru,Indonesia,Indonesia,350,True,<1K
727,Watubela (wah),wah,Watubela,Indonesia,Indonesia,4000,True,<10K
728,Wauyai (wuy),wuy,Wauyai,Indonesia,Indonesia,300,True,<1K
729,Wawonii (wow),wow,Wawonii,Indonesia,Indonesia,30000,True,<100K
730,Wejewa (wew),wew,Wejewa,Indonesia,Indonesia,55000,True,<100K
731,Wemale (weo),weo,Wemale,Indonesia,Indonesia,6000,True,<10K
732,Wersing (kvw),kvw,Wersing,Indonesia,Indonesia,3700,True,<10K
733,West Damar (drn),drn,West Damar,Indonesia,Indonesia,800,True,<1K
734,West Lembata (lmj),lmj,West Lembata,Indonesia,Indonesia,8000,False,<10K
735,West Makian (mqs),mqs,West Makian,Indonesia,Indonesia,12000,True,<100K
736,West Masela (mss),mss,West Masela,Indonesia,Indonesia,850,True,<1K
737,West Tarangan (txn),txn,West Tarangan,Indonesia,Indonesia,7910,True,<10K
738,Western Dani (dnw),dnw,Western Dani,Indonesia,Indonesia,180000,True,<1M
739,Western Pantar (lev),lev,Western Pantar,Indonesia,Indonesia,10804,True,<100K
740,Woi (wbw),wbw,Woi,Indonesia,Indonesia,1800,True,<10K
741,Wolani (wod),wod,Wolani,Indonesia,Indonesia,5000,True,<10K
742,Wolio (wlo),wlo,Wolio,Indonesia,Indonesia,65000,True,<100K
743,Woria (wor),wor,Woria,Indonesia,Indonesia,5,True,<10
744,Wotu (wtw),wtw,Wotu,Indonesia,Indonesia,500,True,<1K
745,Yahadian (ner),ner,Yahadian,Indonesia,Indonesia,500,True,<1K
746,Yalahatan (jal),jal,Yalahatan,Indonesia,Indonesia,1700,False,<10K
747,Yamdena (jmd),jmd,Yamdena,Indonesia,Indonesia,25000,True,<100K
748,Yaosakor Asmat (asy),asy,Yaosakor Asmat,Indonesia,Indonesia,2000,True,<10K
749,Yaqay (jaq),jaq,Yaqay,Indonesia,Indonesia,10000,True,<100K
750,Yarsun (yrs),yrs,Yarsun,Indonesia,Indonesia,200,False,<1K
751,Yaur (jau),jau,Yaur,Indonesia,Indonesia,350,True,<1K
752,Yawa (yva),yva,Yawa,Indonesia,Indonesia,10000,True,<100K
753,Yei (jei),jei,Yei,Indonesia,Indonesia,2390,True,<10K
754,Yelmek (jel),jel,Yelmek,Indonesia,Indonesia,400,True,<1K
755,Yeresiam (ire),ire,Yeresiam,Indonesia,Indonesia,70,True,<100
756,Yeretuar (gop),gop,Yeretuar,Indonesia,Indonesia,350,True,<1K
757,Yetfa (yet),yet,Yetfa,Indonesia,Indonesia,1400,True,<10K
758,Yoke (yki),yki,Yoke,Indonesia,Indonesia,200,True,<1K
759,Zorop (wfg),wfg,Zorop,Indonesia,Laos,230,True,<1K
760,Akha (ahk),ahk,Akha,"Laos, Myanmar, Thailand",Laos,200000,True,<1M
761,Alak (alk),alk,Alak,Laos,Laos,4000,True,<10K
762,Arem (aem),aem,Arem,"Laos, Vietnam",Laos,20,True,<100
763,Bit (bgk),bgk,Bit,Laos,Laos,1960,True,<10K
764,Bo (bgl),bgl,Bo,Laos,Laos,2950,True,<10K
765,Chepya (ycp),ycp,Chepya,Laos,Laos,2000,False,<10K
766,Chut (scb),scb,Chut,"Laos, Vietnam",Laos,1050,True,<10K
767,Con (cno),cno,Con,Laos,Laos,1000,False,<10K
768,Eastern Bru (bru),bru,Eastern Bru,"Laos, Vietnam",Laos,26700,True,<100K
769,Halang Doan (hld),hld,Halang Doan,"Laos, Vietnam",Laos,2000,False,<10K
770,Hani (hni),hni,Hani,"Laos, Vietnam",Laos,740000,True,<1M
771,Hmong Njua (hnj),hnj,Hmong Njua,"Laos, Thailand, Vietnam",Laos,100000,True,<1M
772,Hung (hnu),hnu,Hung,"Laos, Vietnam",Laos,2000,True,<10K
773,Ir (irr),irr,Ir,Laos,Laos,4420,True,<10K
774,Iu Mien (ium),ium,Iu Mien,"Laos, Vietnam",Laos,383000,True,<1M
775,Jeh (jeh),jeh,Jeh,"Laos, Vietnam",Laos,15200,True,<100K
776,Kaduo (ktp),ktp,Kaduo,Laos,Laos,180000,True,<1M
777,Kang (kyp),kyp,Kang,Laos,Laos,47600,True,<100K
778,Khmu (kjg),kjg,Khmu,"Laos, Thailand, Vietnam",Laos,708000,True,<1M
779,Khua (xhv),xhv,Khua,"Laos, Vietnam",Laos,3000,False,<10K
780,Khuen (khf),khf,Khuen,Laos,Laos,8000,False,<10K
781,Kiorr (xko),xko,Kiorr,Laos,Laos,2360,False,<10K
782,Kriang (ngt),ngt,Kriang,Laos,Laos,12900,True,<100K
783,Kuan (uan),uan,Kuan,Laos,Laos,2500,False,<10K
784,Lahu (lhu),lhu,Lahu,"Laos, Myanmar",Laos,280000,True,<1M
785,Laopang (lbg),lbg,Laopang,Laos,Laos,9550,False,<10K
786,Laos Sign Language (lso),lso,Laos Sign Language,Laos,Laos,36000,False,<100K
787,Laven (lbo),lbo,Laven,Laos,Laos,28100,True,<100K
788,Lavi (lvi),lvi,Lavi,Laos,Laos,500,True,<1K
789,Lower Ta’oih (tto),tto,Lower Ta’oih,Laos,Laos,15800,False,<100K
790,Lü (khb),khb,Lü,"Laos, Myanmar",Laos,280000,True,<1M
791,Mal (mlf),mlf,Mal,"Laos, Thailand",Laos,23200,True,<100K
792,Maleng (pkt),pkt,Maleng,"Laos, Vietnam",Laos,500,True,<1K
793,Mlabri (mra),mra,Mlabri,"Laos, Thailand",Laos,130,True,<1K
794,Ngoaun (nuo),nuo,Ngoaun,"Laos, Vietnam",Laos,1000,False,<10K
795,Northern Katang (ncq),ncq,Northern Katang,Laos,Laos,65000,False,<100K
796,Northern Thai (nod),nod,Northern Thai,"Laos, Thailand",Thailand,6000000,True,<10M
797,Nyaheun (nev),nev,Nyaheun,Laos,Laos,3960,True,<10K
798,O’du (tyh),tyh,O’du,"Laos, Vietnam",Laos,300,True,<1K
799,Ong (oog),oog,Ong,Laos,Laos,10300,True,<100K
800,Oy (oyb),oyb,Oy,Laos,Laos,23500,True,<100K
801,Pacoh (pac),pac,Pacoh,"Laos, Vietnam",Laos,16000,True,<100K
802,Phana’ (phq),phq,Phana’,Laos,Laos,350,True,<1K
803,Phong-Kniang (pnx),pnx,Phong-Kniang,Laos,Laos,1000,True,<10K
804,Phu Thai (pht),pht,Phu Thai,"Laos, Thailand, Vietnam",Thailand,470000,False,<1M
805,Phuan (phu),phu,Phuan,"Laos, Thailand",Laos,200000,False,<1M
806,Phunoi (pho),pho,Phunoi,Laos,Laos,35600,True,<100K
807,Prai (prt),prt,Prai,"Laos, Thailand",Laos,20000,True,<100K
808,Rmeet (lbn),lbn,Rmeet,Laos,Laos,22300,True,<100K
809,Saek (skb),skb,Saek,"Laos, Thailand",Laos,3730,True,<10K
810,Salang (hal),hal,Salang,"Laos, Vietnam",Laos,13500,True,<100K
811,Sapuan (spu),spu,Sapuan,Laos,Laos,2400,True,<10K
812,Sila (slt),slt,Sila,"Laos, Vietnam",Laos,1770,False,<10K
813,So (sss),sss,So,"Laos, Thailand",Laos,118000,False,<1M
814,Sou (sqq),sqq,Sou,Laos,Laos,2360,True,<10K
815,Southern Katang (sct),sct,Southern Katang,Laos,Laos,40000,False,<100K
816,Tai Daeng (tyr),tyr,Tai Daeng,"Laos, Vietnam",Vietnam,80000,True,<100K
817,Tai Dam (blt),blt,Tai Dam,"Laos, Vietnam",Vietnam,699000,True,<1M
818,Tai Dón (twh),twh,Tai Dón,"Laos, Vietnam",Laos,280000,True,<1M
819,Tai Khang (tnu),tnu,Tai Khang,Laos,Laos,200,True,<1K
820,Tai Loi (tlq),tlq,Tai Loi,"Laos, Myanmar",Laos,4460,False,<10K
821,Tai Long (thi),thi,Tai Long,Laos,Laos,4800,False,<10K
822,Tai Pao (tpo),tpo,Tai Pao,"Laos, Vietnam",Laos,3300,True,<10K
823,Tai Yo (tyj),tyj,Tai Yo,"Laos, Vietnam",Laos,300,False,<1K
824,Talieng (tdf),tdf,Talieng,Laos,Laos,29100,True,<100K
825,Tareng (tgr),tgr,Tareng,Laos,Laos,5000,False,<10K
826,Upper Ta’oih (tth),tth,Upper Ta’oih,"Laos, Vietnam",Laos,30900,False,<100K
827,Western Bru (brv),brv,Western Bru,"Laos, Thailand",Laos,20000,True,<100K
828,Western Katu (kuf),kuf,Western Katu,Laos,Laos,22800,False,<100K
829,Yoy (yoy),yoy,Yoy,"Laos, Thailand",Laos,5000,True,<10K
830,Abai Sungai (abf),abf,Abai Sungai,Malaysia,Malaysia,500,False,<1K
831,Baram Kayan (kys),kys,Baram Kayan,Malaysia,Malaysia,4150,True,<10K
832,Batek (btq),btq,Batek,Malaysia,Malaysia,1000,True,<10K
833,Bintulu (bny),bny,Bintulu,Malaysia,Malaysia,4200,True,<10K
834,Bonggi (bdg),bdg,Bonggi,Malaysia,Malaysia,1400,True,<10K
835,Bookan Murut (bnb),bnb,Bookan Murut,Malaysia,Malaysia,1700,True,<10K
836,Central Berawan (zbc),zbc,Central Berawan,Malaysia,Malaysia,1500,True,<10K
837,Central Melanau (mel),mel,Central Melanau,Malaysia,Malaysia,113000,True,<1M
838,Cheq Wong (cwg),cwg,Cheq Wong,Malaysia,Malaysia,460,True,<1K
839,Daro-Matu Melanau (dro),dro,Daro-Matu Melanau,Malaysia,Malaysia,7600,True,<10K
840,Dumpas (dmv),dmv,Dumpas,Malaysia,Malaysia,2400,False,<10K
841,East Berawan (zbe),zbe,East Berawan,Malaysia,Malaysia,1100,True,<10K
842,Gana (gnq),gnq,Gana,Malaysia,Malaysia,250,False,<1K
843,Ida’an (dbj),dbj,Ida’an,Malaysia,Malaysia,10000,True,<100K
844,Iranun (ilm),ilm,Iranun,Malaysia,Malaysia,22000,True,<100K
845,Jah Hut (jah),jah,Jah Hut,Malaysia,Malaysia,4191,True,<10K
846,Jakun (jak),jak,Jakun,Malaysia,Malaysia,10000,True,<100K
847,Jehai (jhi),jhi,Jehai,Malaysia,Malaysia,1250,True,<10K
848,Kadazan Dusun (dtp),dtp,Kadazan Dusun,Malaysia,Malaysia,264000,True,<1M
849,Kajaman (kag),kag,Kajaman,Malaysia,Malaysia,500,True,<1K
850,Kalabakan Murut (kve),kve,Kalabakan Murut,Malaysia,Malaysia,2200,False,<10K
851,Kanowit-Tanjong Melanau (kxn),kxn,Kanowit-Tanjong Melanau,Malaysia,Malaysia,200,True,<1K
852,Kedah Malay (meo),meo,Kedah Malay,"Malaysia, Thailand",Malaysia,2600000,True,<10M
853,Kenaboi (xbn),xbn,Kenaboi,Malaysia,Malaysia,0,True,<10
854,Keningau Murut (kxi),kxi,Keningau Murut,Malaysia,Malaysia,3000,False,<10K
855,Kensiu (kns),kns,Kensiu,"Malaysia, Thailand",Malaysia,250,True,<1K
856,Kimaragang (kqr),kqr,Kimaragang,Malaysia,Malaysia,90000,True,<100K
857,Kintaq (knq),knq,Kintaq,Malaysia,Malaysia,110,True,<1K
858,Kiput (kyi),kyi,Kiput,Malaysia,Malaysia,2460,True,<10K
859,Klias River Kadazan (kqt),kqt,Klias River Kadazan,Malaysia,Malaysia,800,False,<1K
860,Kota Marudu Talantang (grm),grm,Kota Marudu Talantang,Malaysia,Malaysia,1800,True,<10K
861,Kuijau (dkr),dkr,Kuijau,Malaysia,Malaysia,7910,False,<10K
862,Labuk-Kinabatangan Kadazan (dtb),dtb,Labuk-Kinabatangan Kadazan,Malaysia,Malaysia,20600,True,<100K
863,Lahanan (lhn),lhn,Lahanan,Malaysia,Malaysia,350,True,<1K
864,Lanas Lobu (ruu),ruu,Lanas Lobu,Malaysia,Malaysia,4000,False,<10K
865,Lanoh (lnh),lnh,Lanoh,Malaysia,Malaysia,240,True,<1K
866,Lelak (llk),llk,Lelak,Malaysia,Malaysia,220,True,<1K
867,Long Wat (ttw),ttw,Long Wat,Malaysia,Malaysia,600,False,<1K
868,Lotud (dtr),dtr,Lotud,Malaysia,Malaysia,20000,True,<100K
869,Mah Meri (mhe),mhe,Mah Meri,Malaysia,Malaysia,2990,True,<10K
870,Malaccan Malay Creole (ccm),ccm,Malaccan Malay Creole,Malaysia,Malaysia,300,True,<1K
871,Malaccan Portuguese Creole (mcm),mcm,Malaccan Portuguese Creole,Malaysia,Malaysia,2150,False,<10K
872,Malay (zlm),zlm,Malay,Malaysia,Malaysia,13500000,True,<100M
873,Malaysian Sign Language (xml),xml,Malaysian Sign Language,Malaysia,Malaysia,58700,True,<100K
874,Minokok (mqq),mqq,Minokok,Malaysia,Malaysia,1200,False,<10K
875,Minriq (mnq),mnq,Minriq,Malaysia,Malaysia,270,False,<1K
876,Mintil (mzt),mzt,Mintil,Malaysia,Malaysia,180,True,<1K
877,Molbog (pwm),pwm,Molbog,"Malaysia, Philippines",Malaysia,6680,True,<10K
878,Murik (mxr),mxr,Murik,Malaysia,Malaysia,1120,False,<10K
879,Narom (nrm),nrm,Narom,Malaysia,Malaysia,2420,True,<10K
880,Negeri Sembilan Malay (zmi),zmi,Negeri Sembilan Malay,Malaysia,Malaysia,500000,True,<1M
881,Northern Tidung (ntd),ntd,Northern Tidung,Malaysia,Malaysia,5000,False,<10K
882,Orang Kanaq (orn),orn,Orang Kanaq,Malaysia,Malaysia,80,False,<100
883,Orang Seletar (ors),ors,Orang Seletar,Malaysia,Malaysia,880,False,<1K
884,Paluan Murut (plz),plz,Paluan Murut,Malaysia,Malaysia,5500,False,<10K
885,Papar (dpp),dpp,Papar,Malaysia,Malaysia,500,True,<1K
886,Penang Sign Language (psg),psg,Penang Sign Language,Malaysia,Malaysia,1000,False,<10K
887,Punan Bah-Biau (pna),pna,Punan Bah-Biau,Malaysia,Malaysia,450,True,<1K
888,Punan Batu (pnm),pnm,Punan Batu,Malaysia,Malaysia,30,False,<100
889,Rejang Kayan (ree),ree,Rejang Kayan,Malaysia,Malaysia,3030,True,<10K
890,Remun (lkj),lkj,Remun,Malaysia,Malaysia,3500,True,<10K
891,Rungus (drg),drg,Rungus,Malaysia,Malaysia,55000,True,<100K
892,Sabah Bisaya (bsy),bsy,Sabah Bisaya,Malaysia,Malaysia,21000,True,<100K
893,Sabah Malay (msi),msi,Sabah Malay,Malaysia,Malaysia,3000000,True,<10M
894,Sabüm (sbo),sbo,Sabüm,Malaysia,Malaysia,0,True,<10
895,Sebop (sib),sib,Sebop,Malaysia,Malaysia,1730,True,<10K
896,Sekapan (skp),skp,Sekapan,Malaysia,Malaysia,750,True,<1K
897,Selangor Sign Language (kgi),kgi,Selangor Sign Language,Malaysia,Malaysia,500,True,<1K
898,Semai (sea),sea,Semai,Malaysia,Malaysia,10000,True,<100K
899,Semaq Beri (szc),szc,Semaq Beri,Malaysia,Malaysia,2000,True,<10K
900,Semelai (sza),sza,Semelai,Malaysia,Malaysia,4100,True,<10K
901,Semnam (ssm),ssm,Semnam,Malaysia,Malaysia,670,True,<1K
902,Serudung Murut (srk),srk,Serudung Murut,Malaysia,Malaysia,400,False,<1K
903,Sibu Melanau (sdx),sdx,Sibu Melanau,Malaysia,Malaysia,420,False,<1K
904,Sihan (spg),spg,Sihan,Malaysia,Malaysia,50,False,<100
905,Standard Malay (zsm),zsm,Standard Malay,"Malaysia, Brunei, Singapore",Malaysia,13500000,True,<100M
906,Sugut Dusun (kzs),kzs,Sugut Dusun,Malaysia,Malaysia,240000,False,<1M
907,Tampias Lobu (low),low,Tampias Lobu,Malaysia,Malaysia,4500,False,<10K
908,Tatana (txx),txx,Tatana,Malaysia,Malaysia,10000,True,<100K
909,Temiar (tea),tea,Temiar,Malaysia,Malaysia,15000,True,<100K
910,Temoq (tmo),tmo,Temoq,Malaysia,Malaysia,300,True,<1K
911,Temuan (tmw),tmw,Temuan,Malaysia,Malaysia,8000,True,<10K
912,Ten’edn (tnz),tnz,Ten’edn,"Malaysia, Thailand",Malaysia,350,True,<1K
913,Timugon Murut (tih),tih,Timugon Murut,Malaysia,Malaysia,9000,True,<10K
914,Tobilung (tgb),tgb,Tobilung,Malaysia,Malaysia,4000,True,<10K
915,Tombonuo (txa),txa,Tombonuo,Malaysia,Malaysia,13000,True,<100K
916,Tring (tgq),tgq,Tring,Malaysia,Malaysia,550,True,<1K
917,Tringgus-Sembaan Bidayuh (trx),trx,Tringgus-Sembaan Bidayuh,Malaysia,Malaysia,850,False,<1K
918,Ukit (umi),umi,Ukit,Malaysia,Malaysia,120,False,<1K
919,Upper Kinabatangan (dmg),dmg,Upper Kinabatangan,Malaysia,Malaysia,1000,True,<10K
920,West Berawan (zbw),zbw,West Berawan,Malaysia,Malaysia,1000,True,<10K
921,West Coast Bajau (bdr),bdr,West Coast Bajau,Malaysia,Malaysia,436672,True,<1M
922,Western Penan (pne),pne,Western Penan,Malaysia,Malaysia,3400,True,<10K
923,Akyaung Ari Naga (nqy),nqy,Akyaung Ari Naga,Myanmar,Myanmar,1000,False,<10K
924,Anong (nun),nun,Anong,Myanmar,Myanmar,400,True,<1K
925,Anu-Khongso Chin (anl),anl,Anu-Khongso Chin,Myanmar,Myanmar,4000,True,<10K
926,Asho Chin (csh),csh,Asho Chin,Myanmar,Myanmar,170000,False,<1M
927,Bawm Chin (bgr),bgr,Bawm Chin,Myanmar,Myanmar,4440,True,<10K
928,Blang (blr),blr,Blang,"Myanmar, Thailand",Myanmar,42000,True,<100K
929,Bualkhaw Chin (cbl),cbl,Bualkhaw Chin,Myanmar,Myanmar,2500,True,<10K
930,Burmese (mya),mya,Burmese,Myanmar,Myanmar,42875600,True,<100M
931,Bwe Karen (bwe),bwe,Bwe Karen,Myanmar,Myanmar,17200,True,<100K
932,Chak (ckh),ckh,Chak,Myanmar,Myanmar,3000,True,<10K
933,Chakma (ccp),ccp,Chakma,Myanmar,Myanmar,150000,True,<1M
934,Chen-Kayu Naga (nqq),nqq,Chen-Kayu Naga,Myanmar,Myanmar,9000,False,<10K
935,Daai Chin (dao),dao,Daai Chin,Myanmar,Myanmar,37000,True,<100K
936,Danau (dnu),dnu,Danau,Myanmar,Myanmar,1000,True,<10K
937,Danu (dnv),dnv,Danu,Myanmar,Myanmar,100000,False,<1M
938,Drung (duu),duu,Drung,Myanmar,Myanmar,14000,True,<100K
939,Eastern Kayah (eky),eky,Eastern Kayah,"Myanmar, Thailand",Myanmar,8000,True,<10K
940,Eastern Khumi Chin (cek),cek,Eastern Khumi Chin,Myanmar,Myanmar,12000,True,<100K
941,Ekai Chin (cey),cey,Ekai Chin,Myanmar,Myanmar,6100,False,<10K
942,Falam Chin (cfm),cfm,Falam Chin,Myanmar,Myanmar,69000,True,<100K
943,Geba Karen (kvq),kvq,Geba Karen,Myanmar,Myanmar,40000,True,<100K
944,Geko Karen (ghk),ghk,Geko Karen,Myanmar,Myanmar,17000,False,<100K
945,Hakha Chin (cnh),cnh,Hakha Chin,Myanmar,Myanmar,140000,True,<1M
946,Hpon (hpo),hpo,Hpon,Myanmar,Myanmar,0,True,<10
947,Intha (int),int,Intha,Myanmar,Myanmar,90000,False,<100K
948,Jejara Naga (pzn),pzn,Jejara Naga,Myanmar,Myanmar,1500,False,<10K
949,Jingpho (kac),kac,Jingpho,Myanmar,Myanmar,900000,True,<1M
950,Kaang Chin (ckn),ckn,Kaang Chin,Myanmar,Myanmar,1000,False,<10K
951,Kadu (zkd),zkd,Kadu,Myanmar,Myanmar,30000,False,<100K
952,Kanan (zkn),zkn,Kanan,Myanmar,Myanmar,9000,False,<10K
953,Kawyaw (kxf),kxf,Kawyaw,Myanmar,Myanmar,10000,True,<100K
954,Kayan (pdu),pdu,Kayan,Myanmar,Myanmar,133000,True,<1M
955,Kayaw (kvl),kvl,Kayaw,Myanmar,Myanmar,16600,False,<100K
956,Khams Tibetan (khg),khg,Khams Tibetan,Myanmar,Myanmar,1380000,True,<10M
957,Khamti (kht),kht,Khamti,Myanmar,Myanmar,8000,True,<10K
958,Khiamniungan Naga (kix),kix,Khiamniungan Naga,Myanmar,Myanmar,37800,True,<100K
959,Khumi Chin (cnk),cnk,Khumi Chin,Myanmar,Myanmar,60000,True,<100K
960,Khün (kkh),kkh,Khün,Myanmar,Myanmar,100000,True,<1M
961,Kokak Naga (nxk),nxk,Kokak Naga,Myanmar,Myanmar,2000,False,<10K
962,Konyak Naga (nbe),nbe,Konyak Naga,Myanmar,Myanmar,248000,True,<1M
963,Lacid (lsi),lsi,Lacid,Myanmar,Myanmar,30000,True,<100K
964,Lahta (kvt),kvt,Lahta,Myanmar,Myanmar,9550,False,<10K
965,Lahu Shi (lhi),lhi,Lahu Shi,Myanmar,Myanmar,117000,True,<1M
966,Lainong Naga (lzn),lzn,Lainong Naga,Myanmar,Myanmar,7000,True,<10K
967,Laitu Chin (clj),clj,Laitu Chin,Myanmar,Myanmar,15000,False,<100K
968,Lao Naga (nlq),nlq,Lao Naga,Myanmar,Myanmar,1000,False,<10K
969,Lautu Chin (clt),clt,Lautu Chin,Myanmar,Myanmar,15000,False,<100K
970,Lhao Vo (mhx),mhx,Lhao Vo,Myanmar,Myanmar,100000,True,<1M
971,Lisu (lis),lis,Lisu,Myanmar,Myanmar,600000,True,<1M
972,Long Phuri Naga (lpn),lpn,Long Phuri Naga,Myanmar,Myanmar,1000,False,<10K
973,Makuri Naga (jmn),jmn,Makuri Naga,Myanmar,Myanmar,2500,True,<10K
974,Mara Chin (mrh),mrh,Mara Chin,Myanmar,Myanmar,34800,True,<100K
975,Matu Chin (hlt),hlt,Matu Chin,Myanmar,Myanmar,30000,True,<100K
976,Mizo Chin (lus),lus,Mizo Chin,Myanmar,Myanmar,675000,True,<1M
977,Mobwa Karen (jkm),jkm,Mobwa Karen,Myanmar,Myanmar,4000,False,<10K
978,Mok (mqt),mqt,Mok,"Myanmar, Thailand",Myanmar,7,True,<10
979,Moken (mwt),mwt,Moken,"Myanmar, Thailand",Myanmar,4000,True,<10K
980,Mon (mnw),mnw,Mon,"Myanmar, Thailand",Myanmar,743000,True,<1M
981,Mro-Khimi (cmr),cmr,Mro-Khimi,Myanmar,Myanmar,75000,True,<100K
982,Mru (mro),mro,Mru,Myanmar,Myanmar,30000,True,<100K
983,Muak Sa-aak (ukk),ukk,Muak Sa-aak,Myanmar,Myanmar,4500,False,<10K
984,Müün Chin (mwq),mwq,Müün Chin,Myanmar,Myanmar,15000,True,<100K
985,Myanmar Sign Language (ysm),ysm,Myanmar Sign Language,Myanmar,Myanmar,270000,True,<1M
986,Ngawn Chin (cnw),cnw,Ngawn Chin,Myanmar,Myanmar,15000,True,<100K
987,Ngochang (acn),acn,Ngochang,Myanmar,Myanmar,27700,True,<100K
988,Nusu (nuf),nuf,Nusu,Myanmar,Myanmar,12000,True,<100K
