,display_name,ISO code,Language,Relevant Countries,Country,# Speakers,is_in_seacrowd,population
63,Ambonese Malay (abs),abs,Ambonese Malay,Indonesia,Indonesia,1600000,True,<10M
64,Ampanang (apg),apg,Ampanang,Indonesia,Indonesia,30000,False,<100K
65,Anakalangu (akg),akg,Anakalangu,Indonesia,Indonesia,16000,True,<100K
66,Anasi (bpo),bpo,Anasi,Indonesia,Indonesia,2000,False,<10K
67,Andio (bzb),bzb,Andio,Indonesia,Indonesia,1700,False,<10K
68,Angguruk Yali (yli),yli,Angguruk Yali,Indonesia,Indonesia,15000,True,<100K
69,Ansus (and),and,Ansus,Indonesia,Indonesia,4600,True,<10K
70,Anus (auq),auq,Anus,Indonesia,Indonesia,320,False,<1K
71,Aoheng (pni),pni,Aoheng,Indonesia,Indonesia,2630,False,<10K
72,Aputai (apx),apx,Aputai,Indonesia,Indonesia,150,True,<1K
73,Aralle-Tabulahan (atq),atq,Aralle-Tabulahan,Indonesia,Indonesia,12000,True,<100K
74,Arandai (jbj),jbj,Arandai,Indonesia,Indonesia,1000,True,<10K
75,Arguni (agf),agf,Arguni,Indonesia,Indonesia,150,True,<1K
76,As (asz),asz,As,Indonesia,Indonesia,230,True,<1K
77,Asilulu (asl),asl,Asilulu,Indonesia,Indonesia,8760,True,<10K
78,Asue Awyu (psa),psa,Asue Awyu,Indonesia,Indonesia,6500,True,<10K
79,Atohwaim (aqm),aqm,Atohwaim,Indonesia,Indonesia,1000,True,<10K
80,Auye (auu),auu,Auye,Indonesia,Indonesia,350,True,<1K
81,Awbono (awh),awh,Awbono,Indonesia,Indonesia,100,True,<1K
82,Awera (awr),awr,Awera,Indonesia,Indonesia,70,True,<100
83,Awyi (auw),auw,Awyi,Indonesia,Indonesia,350,True,<1K
84,Bacanese Malay (btj),btj,Bacanese Malay,Indonesia,Indonesia,6,True,<10
85,Bada (bhz),bhz,Bada,Indonesia,Indonesia,6800,True,<10K
86,Bädi Kanum (khd),khd,Bädi Kanum,Indonesia,Indonesia,10,True,<100
87,Badui (bac),bac,Badui,Indonesia,Indonesia,20000,True,<100K
88,Bagusa (bqb),bqb,Bagusa,Indonesia,Indonesia,300,True,<1K
89,Baham (bdw),bdw,Baham,Indonesia,Indonesia,1100,True,<10K
90,Bahau (bhv),bhv,Bahau,Indonesia,Indonesia,19000,False,<100K
91,Bahonsuai (bsu),bsu,Bahonsuai,Indonesia,Indonesia,200,False,<1K
92,Bakati’ (bei),bei,Bakati’,Indonesia,Indonesia,4000,True,<10K
93,Bakumpai (bkr),bkr,Bakumpai,Indonesia,Indonesia,100000,True,<1M
94,Balaesang (bls),bls,Balaesang,Indonesia,Indonesia,3200,True,<10K
95,Balantak (blz),blz,Balantak,Indonesia,Indonesia,31000,True,<100K
96,Bali (ban),ban,Bali,Indonesia,Indonesia,3330000,True,<10M
97,Balinese Malay (mhp),mhp,Balinese Malay,Indonesia,Indonesia,25000,False,<100K
98,Bambam (ptu),ptu,Bambam,Indonesia,Indonesia,22000,True,<100K
99,Banda (bnd),bnd,Banda,Indonesia,Indonesia,3000,True,<10K
100,Banda Malay (bpq),bpq,Banda Malay,Indonesia,Indonesia,3690,True,<10K
101,Banggai (bgz),bgz,Banggai,Indonesia,Indonesia,125000,True,<1M
102,Bangka (mfb),mfb,Bangka,Indonesia,Indonesia,340000,True,<1M
103,Banjar (bjn),bjn,Banjar,Indonesia,Indonesia,3500000,True,<10M
104,Bantik (bnq),bnq,Bantik,Indonesia,Indonesia,3000,True,<10K
105,Barakai (baj),baj,Barakai,Indonesia,Indonesia,4450,True,<10K
106,Barapasi (brp),brp,Barapasi,Indonesia,Indonesia,2500,True,<10K
107,Baras (brs),brs,Baras,Indonesia,Indonesia,250,True,<1K
108,Basap (bdb),bdb,Basap,Indonesia,Indonesia,15000,False,<100K
109,Batak Alas-Kluet (btz),btz,Batak Alas-Kluet,Indonesia,Indonesia,195000,True,<1M
110,Batak Angkola (akb),akb,Batak Angkola,Indonesia,Indonesia,750000,True,<1M
111,Batak Dairi (btd),btd,Batak Dairi,Indonesia,Indonesia,1200000,True,<10M
112,Batak Karo (btx),btx,Batak Karo,Indonesia,Indonesia,600000,True,<1M
113,Batak Mandailing (btm),btm,Batak Mandailing,Indonesia,Indonesia,1100000,True,<10M
114,Batak Simalungun (bts),bts,Batak Simalungun,Indonesia,Indonesia,1200000,True,<10M
115,Batak Toba (bbc),bbc,Batak Toba,Indonesia,Indonesia,2000000,True,<10M
116,Bati (bvt),bvt,Bati,Indonesia,Indonesia,3500,False,<10K
117,Batui (zbt),zbt,Batui,Indonesia,Indonesia,2900,False,<10K
118,Batuley (bay),bay,Batuley,Indonesia,Indonesia,3640,True,<10K
119,Bau Bidayuh (sne),sne,Bau Bidayuh,"Indonesia, Malaysia",Indonesia,29200,True,<100K
120,Bauzi (bvz),bvz,Bauzi,Indonesia,Indonesia,1500,True,<10K
121,Bayono (byl),byl,Bayono,Indonesia,Indonesia,100,True,<1K
122,Bedoanas (bed),bed,Bedoanas,Indonesia,Indonesia,180,True,<1K
123,Beginci (ebc),ebc,Beginci,Indonesia,Indonesia,7800,False,<10K
124,Behoa (bep),bep,Behoa,Indonesia,Indonesia,10000,True,<100K
125,Beneraf (bnv),bnv,Beneraf,Indonesia,Indonesia,200,True,<1K
126,Benggoi (bgy),bgy,Benggoi,Indonesia,Indonesia,350,False,<1K
127,Bentong (bnu),bnu,Bentong,Indonesia,Indonesia,25000,False,<100K
128,Benyadu’ (byd),byd,Benyadu’,Indonesia,Indonesia,54000,False,<100K
129,Berau Malay (bve),bve,Berau Malay,Indonesia,Indonesia,11200,True,<100K
130,Berik (bkl),bkl,Berik,Indonesia,Indonesia,1200,True,<10K
